class,alcohol,malic,ash,mg,hue,od_ratio,proline
1,14.23,1.71,2.43,127,1.04,3.92,1065
1,13.2,1.78,2.14,100,1.05,3.4,1050
1,13.16,2.36,2.67,101,1.03,3.17,1185
1,14.37,1.95,2.5,113,0.86,3.45,1480
1,13.24,2.59,2.87,118,1.04,2.93,735
1,14.2,1.76,2.45,112,1.05,2.85,1450
1,14.39,1.87,2.45,96,1.02,3.58,1290
1,14.06,2.15,2.61,121,1.06,3.58,1295
1,14.83,1.64,2.17,97,1.08,2.85,1045
1,13.86,1.35,2.27,98,1.01,3.55,1045
1,14.1,2.16,2.3,105,1.25,3.17,1510
1,14.12,1.48,2.32,95,1.17,2.82,1280
1,13.75,1.73,2.41,89,1.15,2.9,1320
1,14.75,1.73,2.39,91,1.25,2.73,1150
1,14.38,1.87,2.38,102,1.2,3.0,1547
1,13.63,1.81,2.7,112,1.28,2.88,1310
1,14.3,1.92,2.72,120,1.07,2.65,1280
1,13.83,1.57,2.62,115,1.13,2.57,1130
1,14.19,1.59,2.48,108,1.23,2.82,1680
1,13.64,3.1,2.56,116,0.96,3.36,845
1,14.06,1.63,2.28,126,1.09,3.71,780
1,12.93,3.8,2.65,102,1.03,3.52,770
1,13.71,1.86,2.36,101,1.11,4.0,1035
1,12.85,1.6,2.52,95,1.09,3.63,1015
1,13.5,1.81,2.61,96,1.12,3.82,845
1,13.05,2.05,3.22,124,1.13,3.2,830
1,13.39,1.77,2.62,93,0.92,3.22,1195
1,13.3,1.72,2.14,94,1.02,2.77,1285
1,13.87,1.9,2.8,107,1.25,3.4,915
1,14.02,1.68,2.21,96,1.04,3.59,1035
1,13.73,1.5,2.7,101,1.19,2.71,1285
1,13.58,1.66,2.36,106,1.09,2.88,1515
1,13.68,1.83,2.36,104,1.23,2.87,990
1,13.76,1.53,2.7,132,1.25,3.0,1235
1,13.51,1.8,2.65,110,1.1,2.87,1095
1,13.48,1.81,2.41,100,1.04,3.47,920
1,13.28,1.64,2.84,110,1.09,2.78,880
1,13.05,1.65,2.55,98,1.12,2.51,1105
1,13.07,1.5,2.1,98,1.18,2.69,1020
1,14.22,3.99,2.51,128,0.89,3.53,760
1,13.56,1.71,2.31,117,0.95,3.38,795
1,13.41,3.84,2.12,90,0.91,3.0,1035
1,13.88,1.89,2.59,101,0.88,3.56,1095
1,13.24,3.98,2.29,103,0.82,3.0,680
1,13.05,1.77,2.1,107,0.88,3.35,885
1,14.21,4.04,2.44,111,0.87,3.33,1080
1,14.38,3.59,2.28,102,1.04,3.44,1065
1,13.9,1.68,2.12,101,0.91,3.33,985
1,14.1,2.02,2.4,103,1.07,2.75,1060
1,13.94,1.73,2.27,108,1.12,3.1,1260
1,13.05,1.73,2.04,92,1.12,2.91,1150
1,13.83,1.65,2.6,94,1.24,3.37,1265
1,13.82,1.75,2.42,111,1.01,3.26,1190
1,13.77,1.9,2.68,115,1.13,2.93,1375
1,13.74,1.67,2.25,118,0.92,3.2,1060
1,13.56,1.73,2.46,116,0.98,3.03,1120
1,14.22,1.7,2.3,118,0.94,3.31,970
1,13.29,1.97,2.68,102,1.07,2.84,1270
1,13.72,1.43,2.5,108,0.89,2.87,1285
2,12.37,0.94,1.36,88,1.05,1.82,520
2,12.33,1.1,2.28,101,1.25,1.67,680
2,12.64,1.36,2.02,100,0.98,1.59,450
2,13.67,1.25,1.92,94,1.23,2.46,630
2,12.37,1.13,2.16,87,1.22,2.87,420
2,12.17,1.45,2.53,104,1.45,2.23,355
2,12.37,1.21,2.56,98,1.19,2.3,678
2,13.11,1.01,1.7,78,1.12,3.18,502
2,12.37,1.17,1.92,78,1.12,3.48,510
2,13.34,0.94,2.36,110,1.02,1.93,750
2,12.21,1.19,1.75,151,1.28,3.07,718
2,12.29,1.61,2.21,103,0.9059999999999999,1.82,870
2,13.86,1.51,2.67,86,1.36,3.16,410
2,13.49,1.66,2.24,87,0.98,2.78,472
2,12.99,1.67,2.6,139,1.31,3.5,985
2,11.96,1.09,2.3,101,0.99,3.13,886
2,11.66,1.88,1.92,97,1.23,2.14,428
2,13.03,0.9,1.71,86,1.19,2.48,392
2,11.84,2.89,2.23,112,0.96,2.52,500
2,12.33,0.99,1.95,136,1.06,2.31,750
2,12.7,3.87,2.4,101,1.19,3.13,463
2,12.0,0.92,2.0,86,1.38,3.12,278
2,12.72,1.81,2.2,86,1.16,3.14,714
2,12.08,1.13,2.51,78,1.31,2.72,630
2,13.05,3.86,2.32,85,0.84,2.01,515
2,11.84,0.89,2.58,94,0.79,3.08,520
2,12.67,0.98,2.24,99,1.23,3.16,450
2,12.16,1.61,2.31,90,1.33,2.26,495
2,11.65,1.67,2.62,88,1.36,3.21,562
2,11.64,2.06,2.46,84,1.0,2.75,680
2,12.08,1.33,2.3,70,1.07,3.21,625
2,12.08,1.83,2.32,81,1.08,2.27,480
2,12.0,1.51,2.42,86,1.05,2.65,450
2,12.69,1.53,2.26,80,0.96,2.06,495
2,12.29,2.83,2.22,88,1.15,3.3,290
2,11.62,1.99,2.28,98,1.16,2.96,345
2,12.47,1.52,2.2,162,1.16,2.63,937
2,11.81,2.12,2.74,134,0.95,2.26,625
2,12.29,1.41,1.98,85,1.23,2.74,428
2,12.37,1.07,2.1,88,1.04,2.77,660
2,12.29,3.17,2.21,88,1.42,2.83,406
2,12.08,2.08,1.7,97,1.27,2.96,710
2,12.6,1.34,1.9,88,1.04,2.77,562
2,12.34,2.45,2.46,98,0.8,3.38,438
2,11.82,1.72,1.88,86,0.94,2.44,415
2,12.51,1.73,1.98,85,1.04,3.57,672
2,12.42,2.55,2.27,90,0.86,3.3,315
2,12.25,1.73,2.12,80,1.0,3.17,510
2,12.72,1.75,2.28,84,0.88,2.42,488
2,12.22,1.29,1.94,92,0.86,3.02,312
2,11.61,1.35,2.7,94,0.96,3.26,680
2,11.46,3.74,1.82,107,0.75,2.81,562
2,12.52,2.43,2.17,88,0.9,2.78,325
2,11.76,2.68,2.92,103,1.23,2.5,607
2,11.41,0.74,2.5,88,1.1,2.31,434
2,12.08,1.39,2.5,84,0.93,3.19,385
2,11.03,1.51,2.2,85,1.71,2.87,407
2,11.82,1.47,1.99,86,0.95,3.33,495
2,12.42,1.61,2.19,108,1.06,2.96,345
2,12.77,3.43,1.98,80,0.7,2.12,372
2,12.0,3.43,2.0,87,0.93,3.05,564
2,11.45,2.4,2.42,96,0.8,3.39,625
2,11.56,2.05,3.23,119,0.93,3.69,465
2,12.42,4.43,2.73,102,0.92,3.12,365
2,13.05,5.8,2.13,86,0.73,3.1,380
2,11.87,4.31,2.39,82,0.75,3.64,380
2,12.07,2.16,2.17,85,0.86,3.28,378
2,12.43,1.53,2.29,86,0.69,2.84,352
2,11.79,2.13,2.78,92,0.97,2.44,466
2,12.37,1.63,2.3,88,0.89,2.78,342
2,12.04,4.3,2.38,80,0.79,2.57,580
3,12.86,1.35,2.32,122,0.76,1.29,630
3,12.88,2.99,2.4,104,0.74,1.42,530
3,12.81,2.31,2.4,98,0.66,1.36,560
3,12.7,3.55,2.36,106,0.78,1.29,600
3,12.51,1.24,2.25,85,0.75,1.51,650
3,12.6,2.46,2.2,94,0.73,1.58,695
3,12.25,4.72,2.54,89,0.75,1.27,720
3,12.53,5.51,2.64,96,0.82,1.69,515
3,13.49,3.59,2.19,88,0.81,1.82,580
3,12.84,2.96,2.61,101,0.89,2.15,590
3,12.93,2.81,2.7,96,0.77,2.31,600
3,13.36,2.56,2.35,89,0.7,2.47,780
3,13.52,3.17,2.72,97,0.89,2.06,520
3,13.62,4.95,2.35,92,0.91,2.05,550
3,12.25,3.88,2.2,112,0.65,2.0,855
3,13.16,3.57,2.15,102,0.6,1.68,830
3,13.88,5.04,2.23,80,0.58,1.33,415
3,12.87,4.61,2.48,86,0.54,1.86,625
3,13.32,3.24,2.38,92,0.55,1.62,650
3,13.08,3.9,2.36,113,0.57,1.33,550
3,13.5,3.12,2.62,123,0.59,1.3,500
3,12.79,2.67,2.48,112,0.48,1.47,480
3,13.11,1.9,2.75,116,0.61,1.33,425
3,13.23,3.3,2.28,98,0.56,1.51,675
3,12.58,1.29,2.1,103,0.58,1.55,640
3,13.17,5.19,2.32,93,0.6,1.48,725
3,13.84,4.12,2.38,89,0.57,1.64,480
3,12.45,3.03,2.64,97,0.67,1.73,880
3,14.34,1.68,2.7,98,0.57,1.96,660
3,13.48,1.67,2.64,89,0.57,1.78,620
3,12.36,3.83,2.38,88,0.56,1.58,520
3,13.69,3.26,2.54,107,0.96,1.82,680
3,12.85,3.27,2.58,106,0.87,2.11,570
3,12.96,3.45,2.35,106,0.68,1.75,675
3,13.78,2.76,2.3,90,0.7,1.68,615
3,13.73,4.36,2.26,88,0.78,1.75,520
3,13.45,3.7,2.6,111,0.85,1.56,695
3,12.82,3.37,2.3,88,0.72,1.75,685
3,13.58,2.58,2.69,105,0.74,1.8,750
3,13.4,4.6,2.86,112,0.67,1.92,630
3,12.2,3.03,2.32,96,0.66,1.83,510
3,12.77,2.39,2.28,86,0.57,1.63,470
3,14.16,2.51,2.48,91,0.62,1.71,660
3,13.71,5.65,2.45,95,0.64,1.74,740
3,13.4,3.91,2.48,102,0.7,1.56,750
3,13.27,4.28,2.26,120,0.59,1.56,835
3,13.17,2.59,2.37,120,0.6,1.62,840
3,14.13,4.1,2.74,96,0.61,1.6,560
